aX,aY,aZ,gX,gY,gZ
0.590,-0.994,0.702,-27.649,-31.433,43.762
0.549,-0.982,0.716,-27.222,-35.828,53.223
0.531,-0.979,0.735,-23.682,-37.415,62.500
0.506,-0.988,0.769,-19.348,-38.879,70.435
0.477,-0.998,0.795,-16.052,-41.565,76.843
0.480,-1.006,0.799,-16.663,-42.725,80.566
0.489,-1.018,0.784,-21.973,-44.739,82.520
0.502,-1.031,0.768,-29.297,-48.523,84.412
0.521,-1.033,0.743,-36.255,-52.246,86.914
0.549,-1.033,0.719,-40.527,-56.946,89.600
0.575,-1.050,0.716,-42.664,-61.462,92.712
0.604,-1.078,0.703,-41.687,-63.660,97.534
0.635,-1.121,0.676,-37.170,-64.270,104.065
0.639,-1.169,0.644,-33.386,-65.430,111.450
0.621,-1.203,0.580,-30.701,-65.918,120.483
0.543,-1.221,0.526,-30.273,-65.796,130.737
0.414,-1.214,0.446,-34.729,-65.918,140.442
0.276,-1.186,0.337,-42.358,-67.566,148.193
0.112,-1.124,0.235,-50.049,-72.388,154.236
-0.060,-1.041,0.155,-53.772,-79.407,160.034
-0.232,-0.945,0.115,-51.270,-86.792,164.612
-0.419,-0.834,0.151,-43.762,-94.727,168.579
-0.603,-0.709,0.227,-32.715,-100.708,171.021
-0.771,-0.576,0.323,-20.142,-103.210,170.227
-0.898,-0.500,0.456,-8.362,-107.422,165.222
-0.965,-0.403,0.588,0.793,-106.873,153.870
-0.994,-0.376,0.673,-3.052,-101.257,140.320
-0.993,-0.360,0.770,-12.268,-99.854,124.207
-0.988,-0.365,0.833,-28.625,-97.778,111.816
-0.997,-0.383,0.828,-40.161,-90.698,101.257
-0.995,-0.373,0.793,-47.119,-82.520,95.154
-1.005,-0.345,0.762,-50.659,-76.965,92.896
-1.028,-0.311,0.723,-48.096,-71.167,91.858
-1.013,-0.270,0.696,-39.917,-64.148,90.942
-1.027,-0.231,0.701,-27.954,-59.204,88.196
-1.041,-0.183,0.745,-22.217,-56.152,85.938
-1.064,-0.147,0.781,-21.301,-52.795,81.299
-1.072,-0.126,0.824,-24.597,-50.415,74.524
-1.069,-0.112,0.868,-29.053,-50.110,68.237
-1.062,-0.108,0.887,-31.982,-48.340,63.599
-1.063,-0.101,0.884,-33.264,-43.518,60.608
-1.059,-0.078,0.866,-33.997,-37.354,58.960
-1.077,-0.041,0.828,-33.081,-31.555,57.922
-1.091,0.004,0.799,-29.846,-25.696,55.725
-1.108,0.042,0.778,-24.475,-20.264,52.734
-1.135,0.071,0.764,-16.724,-15.808,49.683
-1.158,0.102,0.757,-5.737,-12.634,45.776
-1.175,0.140,0.786,6.287,-12.268,41.321
-1.195,0.154,0.865,18.555,-14.160,35.461
-1.196,0.150,0.956,27.466,-13.794,28.381
