aX,aY,aZ,gX,gY,gZ
0.206,-0.471,0.076,-72.083,-24.475,72.815
0.205,-0.433,0.080,-70.435,-27.100,70.251
0.211,-0.395,0.068,-70.801,-30.396,67.993
0.212,-0.348,0.042,-72.021,-34.302,65.796
0.223,-0.297,0.017,-73.120,-39.001,64.331
0.228,-0.244,-0.005,-73.730,-43.823,63.110
0.224,-0.199,-0.031,-73.059,-49.255,61.279
0.198,-0.154,-0.048,-72.144,-55.176,58.960
0.170,-0.117,-0.050,-69.519,-61.523,56.702
0.145,-0.081,-0.024,-66.284,-68.237,54.382
0.114,-0.051,0.004,-63.599,-75.745,51.208
0.083,-0.022,0.047,-60.547,-84.595,47.668
0.023,0.005,0.118,-54.077,-93.079,46.204
-0.032,0.033,0.193,-45.227,-98.572,48.401
-0.064,0.033,0.238,-36.987,-102.173,51.147
-0.127,0.025,0.267,-30.151,-107.361,50.354
-0.203,0.020,0.289,-23.865,-112.793,48.035
-0.269,-0.001,0.320,-17.273,-117.065,45.288
-0.322,-0.043,0.347,-11.475,-119.690,42.786
-0.393,-0.096,0.370,-5.493,-120.911,40.771
-0.434,-0.147,0.394,-0.793,-119.507,40.466
-0.474,-0.183,0.420,1.282,-117.554,40.710
-0.565,-0.200,0.457,4.333,-110.046,43.030
-0.597,-0.198,0.498,8.667,-92.529,50.720
-0.589,-0.183,0.510,13.428,-74.341,58.777
-0.609,-0.191,0.523,18.311,-58.960,62.317
-0.622,-0.207,0.548,24.780,-51.697,62.256
-0.632,-0.232,0.563,32.898,-54.871,59.570
-0.712,-0.296,0.615,42.480,-63.049,53.711
-0.792,-0.345,0.692,55.176,-67.505,50.232
-0.812,-0.394,0.716,63.538,-60.730,52.429
-0.804,-0.417,0.697,63.843,-52.673,53.833
-0.794,-0.429,0.703,57.312,-49.744,49.133
-0.801,-0.436,0.690,45.959,-48.645,40.771
-0.766,-0.393,0.651,30.273,-47.913,34.119
-0.713,-0.355,0.577,13.428,-48.096,25.635
-0.652,-0.308,0.501,-2.502,-49.622,14.160
-0.620,-0.288,0.416,-15.625,-52.979,2.136
-0.577,-0.268,0.339,-23.743,-56.030,-6.531
-0.564,-0.282,0.269,-25.330,-59.509,-11.719
-0.569,-0.310,0.223,-19.348,-65.918,-12.024
-0.615,-0.358,0.181,-7.446,-74.341,-7.629
-0.667,-0.398,0.205,11.108,-85.938,0.793
-0.760,-0.446,0.290,36.133,-96.802,11.780
-0.868,-0.469,0.400,63.416,-103.394,25.269
-0.941,-0.496,0.513,86.975,-103.455,36.804
-0.967,-0.505,0.598,99.121,-99.609,39.429
-0.999,-0.527,0.668,97.107,-95.276,28.015
-1.022,-0.576,0.720,85.999,-89.600,8.240
-0.922,-0.612,0.732,72.021,-80.750,-10.803
-1.049,-0.719,0.796,68.970,-69.092,-32.410

-1.070,-0.863,0.836,68.665,-40.710,-41.687
-1.065,-0.910,0.838,74.524,-27.954,-39.551
-1.046,-0.942,0.845,79.529,-20.874,-34.668
-1.047,-0.964,0.857,83.130,-14.954,-30.762
-1.060,-0.968,0.876,85.571,-10.986,-28.992
-1.108,-0.988,0.881,87.097,-9.460,-29.236
-1.170,-1.002,0.900,87.341,-6.714,-29.724
-1.220,-1.026,0.933,89.355,-2.197,-31.067
-1.262,-1.059,0.964,92.224,3.479,-32.654
-1.304,-1.093,0.996,94.299,10.437,-34.668
-1.348,-1.137,1.027,97.412,19.287,-38.147
-1.360,-1.178,1.038,97.900,32.532,-40.710
-1.348,-1.200,1.008,93.384,48.767,-41.748
-1.317,-1.207,0.956,84.900,65.063,-43.457
-1.292,-1.211,0.880,74.097,77.881,-46.326
-1.260,-1.204,0.799,64.453,88.257,-49.438
-1.208,-1.190,0.715,55.298,97.168,-52.002
-1.153,-1.180,0.652,48.828,103.516,-54.993
-1.090,-1.177,0.595,46.265,107.178,-57.068
-1.066,-1.224,0.526,48.035,109.070,-58.533
-1.014,-1.219,0.551,50.415,110.535,-58.838
-1.005,-1.290,0.491,59.937,116.821,-57.617
-0.950,-1.344,0.448,65.674,125.061,-58.960
-0.861,-1.394,0.405,61.279,129.517,-57.678
-0.810,-1.427,0.373,53.711,131.592,-57.678
-0.750,-1.431,0.346,44.861,131.531,-55.420
-0.694,-1.420,0.315,35.645,129.883,-49.316
-0.664,-1.381,0.320,29.236,127.014,-40.161
-0.650,-1.347,0.332,28.076,126.221,-28.259
-0.617,-1.326,0.343,30.823,130.066,-14.038
-0.597,-1.321,0.348,35.767,134.583,-2.441
-0.590,-1.348,0.375,43.457,139.221,5.371
-0.597,-1.397,0.405,52.734,150.513,14.832
-0.582,-1.462,0.414,61.096,168.274,27.466
-0.525,-1.524,0.377,65.247,187.195,39.795
-0.412,-1.608,0.321,59.509,198.914,45.288
-0.317,-1.666,0.256,43.945,197.327,39.185
-0.264,-1.722,0.186,21.545,185.425,27.222
-0.200,-1.763,0.105,-4.822,169.312,18.860
-0.144,-1.757,0.030,-27.039,154.663,16.052
-0.078,-1.719,-0.032,-42.603,142.517,19.287
-0.030,-1.662,-0.095,-52.002,130.310,26.062
0.013,-1.593,-0.142,-56.580,114.197,31.616
0.055,-1.488,-0.178,-60.120,94.055,32.593
0.057,-1.371,-0.193,-63.538,74.341,28.503
0.100,-1.269,-0.233,-65.308,57.373,22.522
0.148,-1.219,-0.272,-66.528,39.795,14.832
0.129,-1.221,-0.245,-67.810,22.339,6.714
