aX,aY,aZ,gX,gY,gZ
-0.130,-1.798,1.307,-56.580,26.794,28.198
-0.144,-1.667,1.193,-62.805,29.053,33.447
-0.129,-1.508,1.087,-66.833,31.250,37.170
-0.134,-1.380,1.010,-69.702,31.128,38.513
-0.128,-1.261,0.972,-71.594,30.396,38.147
-0.135,-1.160,0.954,-72.327,31.189,37.231
-0.130,-1.067,0.920,-75.378,34.790,35.400
-0.103,-0.979,0.860,-81.299,37.659,31.738
-0.084,-0.886,0.789,-87.708,37.476,26.794
-0.073,-0.799,0.718,-93.018,35.522,22.278
-0.034,-0.720,0.660,-96.252,33.203,16.724
-0.008,-0.651,0.602,-98.145,29.419,10.254
0.024,-0.587,0.527,-98.145,24.292,5.493
0.035,-0.536,0.460,-95.337,17.456,2.930
0.045,-0.508,0.429,-90.393,10.376,2.197
0.010,-0.482,0.434,-82.581,5.981,3.601
-0.016,-0.422,0.417,-73.486,9.827,4.150
-0.013,-0.367,0.395,-67.017,19.836,3.113
0.011,-0.333,0.380,-62.805,26.855,1.770
0.011,-0.305,0.379,-61.584,28.992,1.526
0.013,-0.285,0.369,-63.782,30.945,2.625
0.031,-0.268,0.333,-69.275,32.959,3.601
0.050,-0.246,0.271,-75.928,32.043,4.395
0.055,-0.225,0.212,-79.407,27.405,6.104
0.048,-0.209,0.184,-76.477,22.339,9.583
0.047,-0.187,0.161,-68.481,19.836,15.259
0.050,-0.161,0.154,-58.472,19.043,21.545

-0.250,-1.207,0.921,151.062,-42.236,-38.696
-0.234,-1.347,1.045,138.245,-45.349,-39.063
-0.232,-1.406,1.133,123.230,-44.861,-36.621
-0.204,-1.408,1.158,108.582,-37.109,-32.043
-0.207,-1.389,1.132,95.581,-28.198,-25.391
-0.202,-1.325,1.059,85.144,-22.034,-17.029
-0.318,-1.293,0.973,85.205,-19.897,-15.503
-0.342,-1.313,0.917,87.097,-19.104,-21.118
-0.330,-1.424,0.908,82.703,-17.761,-27.161
-0.297,-1.530,0.943,80.444,-22.217,-32.471
-0.325,-1.673,1.051,75.623,-25.391,-34.119
-0.347,-1.814,1.200,69.763,-24.475,-33.020
-0.319,-1.931,1.343,62.378,-23.499,-29.053
-0.327,-2.024,1.440,53.650,-22.766,-22.400
-0.401,-2.083,1.515,43.640,-19.226,-11.475
-0.488,-2.116,1.582,31.799,-12.817,-0.977
-0.508,-2.133,1.639,17.517,-5.859,2.625
-0.515,-2.164,1.707,0.183,-1.953,1.709
-0.492,-2.183,1.771,-16.296,1.648,0.000
-0.458,-2.187,1.796,-33.813,8.423,-0.427
-0.447,-2.172,1.775,-50.964,16.052,1.465
-0.436,-2.093,1.705,-63.782,24.353,5.676
-0.425,-1.996,1.615,-74.890,33.386,11.780
-0.396,-1.879,1.498,-84.717,41.077,17.456
-0.371,-1.742,1.370,-92.102,45.227,23.071
-0.350,-1.603,1.234,-97.595,47.180,27.771
-0.301,-1.463,1.095,-101.013,48.096,30.823
-0.256,-1.333,0.996,-103.760,46.875,32.593
-0.236,-1.242,0.915,-105.652,44.922,34.607
-0.223,-1.154,0.869,-105.652,43.945,34.302
-0.199,-1.062,0.847,-103.149,44.861,32.043
-0.166,-1.000,0.817,-102.295,50.049,29.602
-0.164,-0.955,0.784,-102.600,55.359,28.015
-0.139,-0.886,0.741,-100.037,57.617,24.109
-0.120,-0.831,0.701,-97.595,58.533,20.081
-0.101,-0.772,0.653,-96.558,59.326,17.151
-0.084,-0.686,0.600,-92.041,58.289,14.771
